map:159
grid20	-7125.0	3443.0
grid20	-7125.0	3447.0
grid20	-7125.0	3449.0
grid20	-7125.0	3449.0
grid20	-7126.0	3451.0
grid20	-7127.0	3451.0
grid20	-7127.0	3452.0
grid20	-7125.0	3454.0
grid20	-7125.0	3456.0
grid20	-7120.0	3456.0
grid20	-7119.0	3461.0
grid20	-7118.0	3462.0
grid20	-7117.0	3461.0
grid20	-7114.0	3461.0
grid20	-7113.0	3464.0
grid20	-7112.0	3462.0
grid20	-7112.0	3461.0
grid20	-7111.0	3461.0
grid20	-7108.0	3461.0
grid20	-7104.0	3458.0
grid20	-7102.0	3458.0
grid20	-7101.0	3458.0
grid20	-7094.0	3459.0
grid20	-7094.0	3458.0
grid20	-7095.0	3457.0
grid20	-7094.0	3455.0
grid20	-7094.0	3454.0
grid20	-7092.0	3453.0
grid20	-7089.0	3451.0
grid20	-7088.0	3449.0
grid20	-7086.0	3449.0
NA	NA	NA
grid21	-7154.0	3591.0
grid21	-7155.0	3596.0
grid21	-7149.0	3605.0
grid21	-7148.0	3613.0
grid21	-7140.0	3620.0
grid21	-7136.0	3618.0
grid21	-7130.0	3614.0
grid21	-7131.0	3609.0
grid21	-7130.0	3608.0
grid21	-7125.0	3600.0
grid21	-7127.0	3589.0
grid21	-7130.0	3587.0
grid21	-7135.0	3587.0
grid21	-7154.0	3591.0
NA	NA	NA
grid22	-7419.0	3715.0
grid22	-7420.0	3722.0
grid22	-7420.0	3722.0
grid22	-7423.0	3741.0
grid22	-7416.0	3740.0
grid22	-7405.0	3745.0
grid22	-7404.0	3744.0
grid22	-7398.0	3747.0
grid22	-7397.0	3757.0
grid22	-7385.0	3752.0
grid22	-7385.0	3748.0
grid22	-7386.0	3747.0
grid22	-7386.0	3746.0
grid22	-7385.0	3745.0
grid22	-7385.0	3730.0
grid22	-7378.0	3730.0
grid22	-7380.0	3728.0
grid22	-7380.0	3726.0
grid22	-7379.0	3725.0
grid22	-7379.0	3724.0
grid22	-7388.0	3715.0
grid22	-7390.0	3715.0
grid22	-7392.0	3716.0
grid22	-7393.0	3715.0
grid22	-7393.0	3714.0
grid22	-7396.0	3714.0
grid22	-7419.0	3715.0
NA	NA	NA
grid23	-7417.0	3887.0
grid23	-7392.0	3887.0
grid23	-7392.0	3887.0
grid23	-7393.0	3881.0
grid23	-7394.0	3879.0
grid23	-7397.0	3872.0
grid23	-7398.0	3872.0
